JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29372557_119	2025-08-22T19:59:41	puhti	CANCELLED	3613	0:0	mariaosm	mariaosm		1	1		10485760K	770802K	01:00:00	3616	01:00:12
29372566_310	2025-08-22T20:00:35	puhti	COMPLETED	26	0:0	mariaosm	mariaosm		1	1		10485760K	3210K	01:00:00	26	
29372557_133	2025-08-22T19:59:41	puhti	CANCELLED	3627	0:0	mariaosm	mariaosm		1	1		10485760K	966987K	01:00:00	3632	01:00:22
29372566_311	2025-08-22T20:00:35	puhti	COMPLETED	39	0:0	mariaosm	mariaosm		1	1		10485760K	5959K	01:00:00	39	
29372557_134	2025-08-22T19:59:41	puhti	CANCELLED	3627	0:0	mariaosm	mariaosm		1	1		10485760K	5859K	01:00:00	3632	01:00:22
29372566_312	2025-08-22T20:00:35	puhti	COMPLETED	25	0:0	mariaosm	mariaosm		1	1		10485760K	3268K	01:00:00	25	
29372557_135	2025-08-22T19:59:41	puhti	CANCELLED	3627	0:0	mariaosm	mariaosm		1	1		10485760K	5858K	01:00:00	3632	01:00:22
29372566_313	2025-08-22T20:00:35	puhti	COMPLETED	69	0:0	mariaosm	mariaosm		1	1		10485760K	5932K	01:00:00	69	
29372557_136	2025-08-22T19:59:41	puhti	FAILED	832	1:0	mariaosm	mariaosm		1	1	13:45.883	10485760K	6122K	01:00:00	832	
29372566_314	2025-08-22T20:00:35	puhti	COMPLETED	89	0:0	mariaosm	mariaosm		1	1		10485760K	5926K	01:00:00	89	
29372557_150	2025-08-22T19:59:41	puhti	COMPLETED	476	0:0	mariaosm	mariaosm		1	1	07:51.671	10485760K	6017K	01:00:00	476	
29372557_137	2025-08-22T19:59:41	puhti	FAILED	636	1:0	mariaosm	mariaosm		1	1	10:31.191	10485760K	5809K	01:00:00	636	
29372566_315	2025-08-22T20:00:35	puhti	CANCELLED	3609	0:0	mariaosm	mariaosm		1	1		10485760K	7009343K	01:00:00	3612	01:00:10
29372557_151	2025-08-22T19:59:41	puhti	COMPLETED	394	0:0	mariaosm	mariaosm		1	1	06:30.080	10485760K	5943K	01:00:00	394	
29372557_138	2025-08-22T19:59:41	puhti	COMPLETED	24	0:0	mariaosm	mariaosm		1	1		10485760K	3274K	01:00:00	24	
