JobID	Submit	Cluster	State	ExitCode	User	Group	QOS	AllocCPUS	NNodes	NTasks	TotalCPU	ReqMem	MaxRSS	TimeLimit	ElapsedRaw	CPUTime
29907317_255	2025-09-30T13:19:42	puhti	COMPLETED	64	0:0	mariaosm	mariaosm		1	1		52428800K	6012K	00:30:00	64	
29907317_256	2025-09-30T13:19:42	puhti	COMPLETED	67	0:0	mariaosm	mariaosm		1	1		52428800K	97078092K	00:30:00	67	
29907317_270	2025-09-30T13:19:42	puhti	COMPLETED	70	0:0	mariaosm	mariaosm		1	1		52428800K	85967866K	00:30:00	70	
29907317_257	2025-09-30T13:19:42	puhti	COMPLETED	67	0:0	mariaosm	mariaosm		1	1		52428800K	70300271K	00:30:00	67	
29907097_100	2025-09-30T13:15:20	puhti	COMPLETED	371	0:0	mariaosm	mariaosm		1	1	05:32.169	52428800K	6110K	00:30:00	371	
29907317_271	2025-09-30T13:19:42	puhti	COMPLETED	128	0:0	mariaosm	mariaosm		1	1	01:01.514	52428800K	98782151K	00:30:00	128	
29907317_258	2025-09-30T13:19:42	puhti	COMPLETED	68	0:0	mariaosm	mariaosm		1	1		52428800K	93801974K	00:30:00	68	
29907097_101	2025-09-30T13:15:20	puhti	COMPLETED	323	0:0	mariaosm	mariaosm		1	1	04:30.472	52428800K	5946K	00:30:00	323	
29907317_272	2025-09-30T13:19:42	puhti	COMPLETED	69	0:0	mariaosm	mariaosm		1	1		52428800K	74782693K	00:30:00	69	
29907317_259	2025-09-30T13:19:42	puhti	COMPLETED	127	0:0	mariaosm	mariaosm		1	1		52428800K	6644K	00:30:00	127	
29907097_102	2025-09-30T13:15:20	puhti	COMPLETED	323	0:0	mariaosm	mariaosm		1	1	04:04.881	52428800K	5951K	00:30:00	323	
29907317_273	2025-09-30T13:19:42	puhti	COMPLETED	68	0:0	mariaosm	mariaosm		1	1		52428800K	67333757K	00:30:00	68	
29907097_103	2025-09-30T13:15:20	puhti	COMPLETED	349	0:0	mariaosm	mariaosm		1	1	05:19.223	52428800K	6133K	00:30:00	349	
29907317_274	2025-09-30T13:19:42	puhti	COMPLETED	126	0:0	mariaosm	mariaosm		1	1	01:00.935	52428800K	6522K	00:30:00	126	
29907097_104	2025-09-30T13:15:20	puhti	COMPLETED	306	0:0	mariaosm	mariaosm		1	1	04:32.561	52428800K	5928K	00:30:00	306	
29907317_275	2025-09-30T13:19:42	puhti	COMPLETED	68	0:0	mariaosm	mariaosm		1	1		52428800K	76940908K	00:30:00	68	
29907097_105	2025-09-30T13:15:20	puhti	COMPLETED	274	0:0	mariaosm	mariaosm		1	1	04:13.748	52428800K	5905K	00:30:00	274	
29907317_276	2025-09-30T13:19:42	puhti	COMPLETED	67	0:0	mariaosm	mariaosm		1	1		52428800K	96807166K	00:30:00	67	
29907097_106	2025-09-30T13:15:20	puhti	COMPLETED	306	0:0	mariaosm	mariaosm		1	1	04:04.564	52428800K	6008K	00:30:00	306	
29907317_290	2025-09-30T13:19:42	puhti	FAILED	36	0:0	mariaosm	mariaosm		1	1		52428800K	5951K	00:30:00	36	
29907317_277	2025-09-30T13:19:42	puhti	COMPLETED	67	0:0	mariaosm	mariaosm		1	1		52428800K	94814546K	00:30:00	67	
29907097_120	2025-09-30T13:15:20	puhti	COMPLETED	425	0:0	mariaosm	mariaosm		1	1	06:18.887	52428800K	6122K	00:30:00	425	
29907097_107	2025-09-30T13:15:20	puhti	COMPLETED	297	0:0	mariaosm	mariaosm		1	1	04:02.724	52428800K	5918K	00:30:00	297	
29907317_291	2025-09-30T13:19:42	puhti	FAILED	39	0:0	mariaosm	mariaosm		1	1		52428800K	5910K	00:30:00	39	
29907317_278	2025-09-30T13:19:42	puhti	COMPLETED	71	0:0	mariaosm	mariaosm		1	1		52428800K	6135K	00:30:00	71	
29907097_121	2025-09-30T13:15:20	puhti	COMPLETED	515	0:0	mariaosm	mariaosm		1	1	07:40.366	52428800K	6264K	00:30:00	515	
29907097_108	2025-09-30T13:15:20	puhti	COMPLETED	380	0:0	mariaosm	mariaosm		1	1	04:51.108	52428800K	6113K	00:30:00	380	
29907317_292	2025-09-30T13:19:42	puhti	FAILED	39	0:0	mariaosm	mariaosm		1	1		52428800K	6043K	00:30:00	39	
