run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sra_bytes	sra_md5	sra_ftp	sra_aspera	sra_galaxy	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	sra_file_role	bam_file_role
ERR173156	PRJEB3289	ERP001824	SAMEA1694427	ERS177171	ERX149119	ERA164454	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	CTCF_full_AJ_TAGCGA20NGCT_3		SINGLE	OTHER	SYNTHETIC	unspecified	292102	5842040	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-26-09-2012-14:57:16:718-3	ena-RUN-KI-BN-26-09-2012-14:57:16:719-3	5620931	7fb20e61e3a541201f7102488a508629	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173156/ERR173156.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR173/ERR173156/ERR173156.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR173/ERR173156/ERR173156.fastq.gz	4663978	165b3b993463f81aa1e7c5ca515fe52d	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173156/CTCF_full_AJ_TAGCGA20NGCT_3.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR173/ERR173156/CTCF_full_AJ_TAGCGA20NGCT_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR173/ERR173156/CTCF_full_AJ_TAGCGA20NGCT_3.fastq.gz	FASTQ	3682764	1ce33b62b1c8bf0ba816e3e482486eaa	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173156	fasp.sra.ebi.ac.uk:/vol1/err/ERR173/ERR173156	ftp.sra.ebi.ac.uk/vol1/err/ERR173/ERR173156	CTCF_full_AJ_TAGCGA20NGCT_3		CTCF_full_AJ_TAGCGA20NGCT_3		2012-09-26				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185025	PRJEB3289	ERP001824	SAMEA1693646	ERS184198	ERX160577	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	Dlx2_TCGCCA20NCCT_AA_3		SINGLE	OTHER	SYNTHETIC	other	284459	5689180	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:811-2	ena-RUN-KI-BN-29-10-2012-12:03:53:811-2	5310406	50376e3b2f5b41bdeee632ddf48c7f87	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185025/ERR185025.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185025/ERR185025.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185025/ERR185025.fastq.gz	4398179	ccd1465c1beada7a92a409b6e5998fd5	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185025/Dlx2_TCGCCA20NCCT_AA_3.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185025/Dlx2_TCGCCA20NCCT_AA_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185025/Dlx2_TCGCCA20NCCT_AA_3.fastq.gz	FASTQ	3193335	19ab5f15725748b3a3efa7683f265c71	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185025	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185025	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185025	Dlx2_TCGCCA20NCCT_AA_3		Dlx2_TCGCCA20NCCT_AA_3		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185028	PRJEB3289	ERP001824	SAMEA1692625	ERS184201	ERX160580	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	EGR1_TACTAT20NATC_AA_3		SINGLE	OTHER	SYNTHETIC	other	266744	5334880	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:813-5	ena-RUN-KI-BN-29-10-2012-12:03:53:813-5	5230172	43429269e2d2005ca75cfed1642d3cc2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185028/ERR185028.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185028/ERR185028.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185028/ERR185028.fastq.gz	4366366	4fb4f84401903ff90c8ceda7189e72ae	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185028/EGR1_TACTAT20NATC_AA_3.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185028/EGR1_TACTAT20NATC_AA_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185028/EGR1_TACTAT20NATC_AA_3.fastq.gz	FASTQ	3047619	2f6d72bbccb80dc37ffb9618175a6101	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185028	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185028	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185028	EGR1_TACTAT20NATC_AA_3		EGR1_TACTAT20NATC_AA_3		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185030	PRJEB3289	ERP001824	SAMEA1693140	ERS184203	ERX160582	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	FOXG1_TGGTTC20NGA_AA_2		SINGLE	OTHER	SYNTHETIC	other	56139	1122780	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina Genome Analyzer IIx sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:815-7	ena-RUN-KI-BN-29-10-2012-12:03:53:815-7	941662	3408f3e717dcc43fd6e1737e04230a55	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185030/ERR185030.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185030/ERR185030.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185030/ERR185030.fastq.gz	775993	35885015493c4c4a617a4e3b8d24e47d	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185030/FOXG1_TGGTTC20NGA_AA_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185030/FOXG1_TGGTTC20NGA_AA_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185030/FOXG1_TGGTTC20NGA_AA_2.fastq.gz	FASTQ	554666	fe970280d998272e2431bc30e8fcb49f	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185030	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185030	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185030	FOXG1_TGGTTC20NGA_AA_2		FOXG1_TGGTTC20NGA_AA_2		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185032	PRJEB3289	ERP001824	SAMEA1693091	ERS184205	ERX160584	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	FOXG1_TGGTTC20NGA_AA_4		SINGLE	OTHER	SYNTHETIC	other	168888	3377760	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina Genome Analyzer IIx sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:816-9	ena-RUN-KI-BN-29-10-2012-12:03:53:816-9	3127052	526334da692564c1dd8b9c40434bd8ce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185032/ERR185032.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185032/ERR185032.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185032/ERR185032.fastq.gz	2607922	f1938e8f2303e5cf78619d8c12f0bbd1	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185032/FOXG1_TGGTTC20NGA_AA_4.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185032/FOXG1_TGGTTC20NGA_AA_4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185032/FOXG1_TGGTTC20NGA_AA_4.fastq.gz	FASTQ	1848261	34dd6b4b04eebef74d2add43c1eab88b	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185032	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185032	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185032	FOXG1_TGGTTC20NGA_AA_4		FOXG1_TGGTTC20NGA_AA_4		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185033	PRJEB3289	ERP001824	SAMEA1693178	ERS184206	ERX160585	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	HSF1_TACCAC20NACC_AA_2		SINGLE	OTHER	SYNTHETIC	other	100448	2008960	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina Genome Analyzer IIx sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:816-10	ena-RUN-KI-BN-29-10-2012-12:03:53:817-10	1719204	e2c869a671261595b0ca450a2384145a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185033/ERR185033.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185033/ERR185033.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185033/ERR185033.fastq.gz	1422422	6bbe5d7c669e71820b3641c0a472b9fc	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185033/HSF1_TACCAC20NACC_AA_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185033/HSF1_TACCAC20NACC_AA_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185033/HSF1_TACCAC20NACC_AA_2.fastq.gz	FASTQ	988467	05cb666743d1c190ad3446894d529a40	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185033	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185033	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185033	HSF1_TACCAC20NACC_AA_2		HSF1_TACCAC20NACC_AA_2		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185043	PRJEB3289	ERP001824	SAMEA1693384	ERS184216	ERX160595	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	Mafb_TCGTTA20NTTT_AA_3		SINGLE	OTHER	SYNTHETIC	other	118964	2379280	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:824-20	ena-RUN-KI-BN-29-10-2012-12:03:53:824-20	2299628	1848c1e12fc2ef2647a733093b4718e5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185043/ERR185043.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185043/ERR185043.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185043/ERR185043.fastq.gz	1922588	4cf62fb605a71b28a694f67e43b1033a	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185043/Mafb_TCGTTA20NTTT_AA_3.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185043/Mafb_TCGTTA20NTTT_AA_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185043/Mafb_TCGTTA20NTTT_AA_3.fastq.gz	FASTQ	1378247	d2d31b3a80963f7a840c0a429572f2d8	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185043	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185043	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185043	Mafb_TCGTTA20NTTT_AA_3		Mafb_TCGTTA20NTTT_AA_3		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185046	PRJEB3289	ERP001824	SAMEA1693737	ERS184219	ERX160598	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina HiSeq 2000	Msx3_TCGACT20NCAT_AA_3		SINGLE	OTHER	SYNTHETIC	other	129719	2594380	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina HiSeq 2000 sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:826-23	ena-RUN-KI-BN-29-10-2012-12:03:53:826-23	2466840	b9521cd105216e56c63dd2a926bc5239	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185046/ERR185046.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185046/ERR185046.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185046/ERR185046.fastq.gz	2055232	51e164bfb54c99795b30eec367b5a2da	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185046/Msx3_TCGACT20NCAT_AA_3.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185046/Msx3_TCGACT20NCAT_AA_3.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185046/Msx3_TCGACT20NCAT_AA_3.fastq.gz	FASTQ	1474909	6747acd8ad839ab1eda4825659b7fc20	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185046	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185046	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185046	Msx3_TCGACT20NCAT_AA_3		Msx3_TCGACT20NCAT_AA_3		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185053	PRJEB3289	ERP001824	SAMEA1695143	ERS184226	ERX160605	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	NFIA_TACGTC20NTGC_AA_4		SINGLE	OTHER	SYNTHETIC	other	139034	2780680	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina Genome Analyzer IIx sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:831-30	ena-RUN-KI-BN-29-10-2012-12:03:53:831-30	2545542	9c25c26e9c66d2444c82f5b9a164915b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185053/ERR185053.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185053/ERR185053.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185053/ERR185053.fastq.gz	2120966	78c5d375d6e110cb0f4997868c388991	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185053/NFIA_TACGTC20NTGC_AA_4.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185053/NFIA_TACGTC20NTGC_AA_4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185053/NFIA_TACGTC20NTGC_AA_4.fastq.gz	FASTQ	1578809	ca40a76bbf07bd088074f9a3e3c465ef	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185053	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185053	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185053	NFIA_TACGTC20NTGC_AA_4		NFIA_TACGTC20NTGC_AA_4		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
ERR185056	PRJEB3289	ERP001824	SAMEA1695191	ERS184229	ERX160608	ERA169361	9606	Homo sapiens	ILLUMINA	Illumina Genome Analyzer IIx	NFKB1_TCTCAA20NGA_AA_4		SINGLE	OTHER	SYNTHETIC	unspecified	153828	3076560	Department of Biosciences and Nutrition;Karolinska Institutet;Sweden;KI-BN	2013-01-18	2018-11-16	Illumina Genome Analyzer IIx sequencing	DNA-binding specificities of human transcription factors	HT-SELEX_human_TF-specificities	ena-EXPERIMENT-KI-BN-29-10-2012-12:03:53:833-33	ena-RUN-KI-BN-29-10-2012-12:03:53:833-33	2688070	a3e7b7779d60009aec71092775f58ba2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185056/ERR185056.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR185/ERR185056/ERR185056.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR185/ERR185056/ERR185056.fastq.gz	2223876	b53ca160345bc98e9de30250d457f260	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185056/NFKB1_TCTCAA20NGA_AA_4.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/run/ERR185/ERR185056/NFKB1_TCTCAA20NGA_AA_4.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR185/ERR185056/NFKB1_TCTCAA20NGA_AA_4.fastq.gz	FASTQ	1651677	7608ce4a59e6c3c094211957671b8860	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185056	fasp.sra.ebi.ac.uk:/vol1/err/ERR185/ERR185056	ftp.sra.ebi.ac.uk/vol1/err/ERR185/ERR185056	NFKB1_TCTCAA20NGA_AA_4		NFKB1_TCTCAA20NGA_AA_4		2012-10-29				GENERATED_FILE	SUBMISSION_FILE	ARCHIVAL_FILE	
