data_ID	filenames	type	total_sequences	total_bases_raw	total_bases	poor_quality_sequences	sequence_length	pct_gc	Basic Statistics	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
FOXB1_ETV4_3_YSIII_TAAGGG40NACC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_ETV4_3_YSIII_TAAGGG40NACC.fastq.gz	signal	198462	7.9 Mbp	7900000	0	40	52	PASS	PASS	PASS	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
FOXB1_FLI1_3_YYIII_TAAGGG40NACC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_FLI1_3_YYIII_TAAGGG40NACC.fastq.gz	signal	224578	8.9 Mbp	8900000	0	40	48	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	WARN	PASS	PASS
FOXB1_GABPA_3_YYIIII_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_GABPA_3_YYIIII_TGCCGG40NCAG.fastq.gz	signal	242876	9.7 Mbp	9700000	0	40	44	PASS	PASS	FAIL	PASS	FAIL	WARN	PASS	PASS	PASS	PASS	PASS
FOXB1_GCM1_3_YACII_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_GCM1_3_YACII_TGCCGG40NCAG.fastq.gz	signal	232535	9.3 Mbp	9300000	0	40	55	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
FOXB1_ISX_3_YUIIII_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_ISX_3_YUIIII_TGCCGG40NCAG.fastq.gz	signal	222355	8.8 Mbp	8800000	0	40	41	PASS	PASS	FAIL	PASS	WARN	WARN	PASS	PASS	PASS	PASS	PASS
FOXB1_ONECUT1_3_YJII_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_ONECUT1_3_YJII_TGCCGG40NCAG.fastq.gz	signal	177370	7 Mbp	7000000	0	40	36	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	FAIL	WARN	PASS
FOXB1_ONECUT2_3_YXIII_TAAGGG40NACC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_ONECUT2_3_YXIII_TAAGGG40NACC.fastq.gz	signal	208525	8.3 Mbp	8300000.000000001	0	40	43	PASS	PASS	FAIL	PASS	WARN	PASS	WARN	PASS	WARN	PASS	PASS
FOXB1_SOX11_3_YUIII_TAAGGG40NACC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_SOX11_3_YUIII_TAAGGG40NACC.fastq.gz	signal	202916	8.1 Mbp	8100000	0	40	38	PASS	PASS	PASS	PASS	FAIL	WARN	PASS	PASS	FAIL	WARN	PASS
FOXB1_TBX21_3_YYI_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_TBX21_3_YYI_TGCCGG40NCAG.fastq.gz	signal	202235	8 Mbp	8000000	0	40	41	PASS	PASS	FAIL	PASS	FAIL	WARN	PASS	PASS	WARN	PASS	PASS
FOXB1_TBX4_3_YWII_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_TBX4_3_YWII_TGCCGG40NCAG.fastq.gz	signal	237871	9.5 Mbp	9500000	0	40	41	PASS	PASS	WARN	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
FOXB1_TCF12_3_YADIII_TAAGGG40NACC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_TCF12_3_YADIII_TAAGGG40NACC.fastq.gz	signal	164699	6.5 Mbp	6500000	0	40	53	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	WARN	PASS	PASS
FOXB1_TCF3_3_YIII_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_TCF3_3_YIII_TGCCGG40NCAG.fastq.gz	signal	192555	7.7 Mbp	7700000	0	40	42	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	WARN	PASS	PASS
FOXB1_TCF4_3_YACII_TAAGGG40NACC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_TCF4_3_YACII_TAAGGG40NACC.fastq.gz	signal	217086	8.6 Mbp	8600000	0	40	51	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	WARN	WARN	PASS
FOXB1_TFAP2C_3_YXIIII_TAAGGG40NACC	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_TFAP2C_3_YXIIII_TAAGGG40NACC.fastq.gz	signal	142555	5.7 Mbp	5700000	0	40	57	PASS	PASS	PASS	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
FOXB1_TGIF2LX_3_YVII_TGCCGG40NCAG	/scratch/project_2013895/SELEX/data/Xie2025/submitted_ftp/FOXB1_TGIF2LX_3_YVII_TGCCGG40NCAG.fastq.gz	signal	247597	9.9 Mbp	9900000	0	40	48	PASS	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
