data_ID	filenames	type	total_sequences	total_bases_raw	total_bases	poor_quality_sequences	sequence_length	pct_gc	Basic Statistics	Per base sequence quality	Per tile sequence quality	Per sequence quality scores	Per base sequence content	Per sequence GC content	Per base N content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented sequences	Adapter Content
BCL6B_TGCGGG20NGA_AC_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/BCL6B_TGCGGG20NGA_AC_4.fastq.gz	signal	41581	831.6 kbp	831600	0	20	49	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	FAIL	PASS
CTCF_full_AJ_TAGCGA20NGCT_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/CTCF_full_AJ_TAGCGA20NGCT_4.fastq.gz	signal	125032	2.5 Mbp	2500000	0	20	58	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	WARN	PASS	PASS
EGR1_TCTCTT20NGA_Y_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR1_TCTCTT20NGA_Y_2.fastq.gz	signal	69585	1.3 Mbp	1300000	0	20	51	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR1_TACTAT20NATC_AA_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR1_TACTAT20NATC_AA_4.fastq.gz	signal	148750	2.9 Mbp	2900000	0	20	46	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR2_TCGGCC20NGA_W_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR2_TCGGCC20NGA_W_3.fastq.gz	signal	163333	3.2 Mbp	3200000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
EGR2_TCATCA20NCTA_W_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR2_TCATCA20NCTA_W_2.fastq.gz	signal	97362	1.9 Mbp	1900000	0	20	48	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR3_TTAAGA20NGAA_AF_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR3_TTAAGA20NGAA_AF_3.fastq.gz	signal	295844	5.9 Mbp	5900000	0	20	44	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
EGR4_TAGCGA40NGCT_AI_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EGR4_TAGCGA40NGCT_AI_4.fastq.gz	signal	234000	9.3 Mbp	9300000	0	40	53	PASS	PASS	NA	PASS	FAIL	PASS	FAIL	PASS	PASS	PASS	PASS
Egr3_TCATGC20NGTA_Z_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/Egr3_TCATGC20NGTA_Z_3.fastq.gz	signal	97999	1.9 Mbp	1900000	0	20	48	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
GLI2_TAAGTA40NTGA_AI_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLI2_TAAGTA40NTGA_AI_3.fastq.gz	signal	366216	14.6 Mbp	14600000	0	40	53	PASS	PASS	NA	PASS	WARN	PASS	WARN	PASS	PASS	PASS	PASS
GLIS1_TTCGGT20NGA_R_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLIS1_TTCGGT20NGA_R_4.fastq.gz	signal	75380	1.5 Mbp	1500000	0	20	56	PASS	PASS	NA	PASS	FAIL	FAIL	PASS	PASS	PASS	FAIL	PASS
GLIS2_TACTAT20NATC_Y_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLIS2_TACTAT20NATC_Y_3.fastq.gz	signal	76150	1.5 Mbp	1500000	0	20	47	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
GLIS3_TCGCAT20NGA_O_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GLIS3_TCGCAT20NGA_O_4.fastq.gz	signal	7498	149.9 kbp	149900	0	20	63	PASS	PASS	NA	PASS	FAIL	FAIL	PASS	PASS	FAIL	FAIL	PASS
HIC2_TGAGCA20NGA_AC_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/HIC2_TGAGCA20NGA_AC_4.fastq.gz	signal	62415	1.2 Mbp	1200000	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
HINFP1_TCAAGG20NGAA_W_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/HINFP1_TCAAGG20NGAA_W_3.fastq.gz	both	170302	3.4 Mbp	3400000	0	20	50	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
HINFP1_TCAAGG20NGAA_W_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/HINFP1_TCAAGG20NGAA_W_4.fastq.gz	signal	87903	1.7 Mbp	1700000	0	20	65	PASS	PASS	NA	PASS	FAIL	FAIL	PASS	PASS	FAIL	FAIL	PASS
Hic1_TCATCA20NCTA_Z_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/Hic1_TCATCA20NCTA_Z_4.fastq.gz	signal	187950	3.7 Mbp	3700000	0	20	51	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS
KLF13_TGGACA20NGA_AE_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/KLF13_TGGACA20NGA_AE_4.fastq.gz	signal	88438	1.7 Mbp	1700000	0	20	64	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	WARN	WARN	PASS
KLF14_TTGGGA20NTA_AF_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/KLF14_TTGGGA20NTA_AF_3.fastq.gz	signal	166135	3.3 Mbp	3300000	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
KLF16_TTGATT20NTA_AF_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/KLF16_TTGATT20NTA_AF_4.fastq.gz	signal	79484	1.5 Mbp	1500000	0	20	55	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	WARN	PASS
Klf12_TGATGG20NGA_Z_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/Klf12_TGATGG20NGA_Z_4.fastq.gz	signal	2468	49.3 kbp	49300	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
PRDM1_TTGAGG20NGAT_AE_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/PRDM1_TTGAGG20NGAT_AE_2.fastq.gz	signal	261345	5.2 Mbp	5200000	0	20	41	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
SCRT1_TCTTAG20NATG_Y_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/SCRT1_TCTTAG20NATG_Y_4.fastq.gz	signal	17741	354.8 kbp	354800	0	20	44	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
SCRT2_TGGGCG20NCGT_Y_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/SCRT2_TGGGCG20NCGT_Y_3.fastq.gz	signal	14475	289.5 kbp	289500	0	20	45	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
SNAI2_TCGTTA20NGA_O_6	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/SNAI2_TCGTTA20NGA_O_6.fastq.gz	signal	192842	3.8 Mbp	3800000	0	20	52	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
SP1_TCTATG20NGA_O_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/SP1_TCTATG20NGA_O_4.fastq.gz	signal	161802	3.2 Mbp	3200000	0	20	61	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
SP3_TCGGCC20NGA_O_6	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/SP3_TCGGCC20NGA_O_6.fastq.gz	signal	60733	1.2 Mbp	1200000	0	20	63	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	PASS	PASS
SP4_TTATGT20NGTA_AE_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/SP4_TTATGT20NGTA_AE_4.fastq.gz	signal	84184	1.6 Mbp	1600000	0	20	48	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS
SP8_TGCTCG20NCTC_Y_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/SP8_TGCTCG20NCTC_Y_4.fastq.gz	signal	14646	292.9 kbp	292900	0	20	46	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	WARN	PASS
YY1_TCCGGC20NCG_AC_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/YY1_TCCGGC20NCG_AC_3.fastq.gz	signal	217066	4.3 Mbp	4300000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
YY2_TCTTTC20NTTG_Y_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/YY2_TCTTTC20NTTG_Y_4.fastq.gz	signal	20599	411.9 kbp	411900	0	20	47	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
YY2_TGAGCA20NGA_AE_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/YY2_TGAGCA20NGA_AE_2.fastq.gz	signal	252126	5 Mbp	5000000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZBED1_TAATAG20NCG_W_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZBED1_TAATAG20NCG_W_3.fastq.gz	signal	177648	3.5 Mbp	3500000	0	20	50	PASS	PASS	NA	PASS	WARN	WARN	PASS	PASS	PASS	PASS	PASS
ZBTB7A_TGAATA20NGA_W_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZBTB7A_TGAATA20NGA_W_4.fastq.gz	signal	108486	2.1 Mbp	2100000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZBTB7B_TAGCCT20NCG_AC_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZBTB7B_TAGCCT20NCG_AC_3.fastq.gz	signal	345105	6.9 Mbp	6900000	0	20	54	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZBTB7C_TCGCCA40NCCT_AI_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZBTB7C_TCGCCA40NCCT_AI_4.fastq.gz	signal	242220	9.6 Mbp	9600000	0	40	50	PASS	PASS	NA	PASS	WARN	PASS	FAIL	PASS	PASS	PASS	PASS
ZIC1_TCGACT20NCAT_AF_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZIC1_TCGACT20NCAT_AF_4.fastq.gz	signal	51128	1 Mbp	1000000	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZIC3_TCACGT20NGCA_AE_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZIC3_TCACGT20NGCA_AE_3.fastq.gz	signal	326167	6.5 Mbp	6500000	0	20	46	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ZIC4_TGAGGC20NGA_AC_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZIC4_TGAGGC20NGA_AC_3.fastq.gz	signal	128381	2.5 Mbp	2500000	0	20	57	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZNF143_TGCAAG20NCG_V_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF143_TGCAAG20NCG_V_4.fastq.gz	signal	140921	2.8 Mbp	2800000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
ZNF238_TGGTGA20NGA_AC_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF238_TGGTGA20NGA_AC_3.fastq.gz	signal	66181	1.3 Mbp	1300000	0	20	49	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZNF238_TAGTAA20NATT_W_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF238_TAGTAA20NATT_W_3.fastq.gz	signal	307166	6.1 Mbp	6100000	0	20	48	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	WARN	PASS	PASS
ZNF306_TAGGGC20NGGT_AD_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF306_TAGGGC20NGGT_AD_4.fastq.gz	signal	82028	1.6 Mbp	1600000	0	20	50	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS
ZNF410_TGCACT20NGA_AC_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF410_TGCACT20NGA_AC_3.fastq.gz	signal	80460	1.6 Mbp	1600000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZNF524_TCTATG40NTAG_AI_5	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF524_TCTATG40NTAG_AI_5.fastq.gz	signal	117903	4.7 Mbp	4700000	0	40	55	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	WARN	FAIL	PASS
ZNF740_TGGTCT20NCTT_Y_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF740_TGGTCT20NCTT_Y_4.fastq.gz	signal	21139	422.7 kbp	422700	0	20	55	PASS	PASS	NA	PASS	FAIL	FAIL	PASS	PASS	PASS	PASS	PASS
ZNF740_TGTGAG20NGA_AE_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF740_TGTGAG20NGA_AE_4.fastq.gz	signal	36258	725.1 kbp	725100	0	20	55	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	WARN	PASS
ZNF75A_CCATA14N_V_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF75A_CCATA14N_V_4.fastq.gz	signal	203401	2.8 Mbp	2800000	0	14	43	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ZNF784_TGCGGG20NGA_AE_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZNF784_TGCGGG20NGA_AE_3.fastq.gz	signal	267926	5.3 Mbp	5300000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ZSCAN4_TCTTTC20NTTG_W_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ZSCAN4_TCTTTC20NTTG_W_3.fastq.gz	signal	68378	1.3 Mbp	1300000	0	20	46	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
Zfp652_TACGAG20NCG_Z_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/Zfp652_TACGAG20NCG_Z_4.fastq.gz	signal	14105	282.1 kbp	282100	0	20	46	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	WARN	FAIL	PASS
Zfp740_TCAACC20NCG_Z_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/Zfp740_TCAACC20NCG_Z_3.fastq.gz	signal	70862	1.4 Mbp	1400000	0	20	62	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	PASS	PASS
Zic3_TCAAAA20NAAA_AF_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/Zic3_TCAAAA20NAAA_AF_3.fastq.gz	signal	192146	3.8 Mbp	3800000	0	20	55	PASS	PASS	NA	PASS	WARN	WARN	PASS	PASS	WARN	PASS	PASS
CENPB_TGCTGT20NGTC_AD_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/CENPB_TGCTGT20NGTC_AD_3.fastq.gz	signal	111061	2.2 Mbp	2200000	0	20	50	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
GRHL1_TCCAAC20NTA_Q_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GRHL1_TCCAAC20NTA_Q_3.fastq.gz	signal	203209	4 Mbp	4000000	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
GRHL1_TGGACA20NCAT_W_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/GRHL1_TGGACA20NCAT_W_3.fastq.gz	signal	99109	1.9 Mbp	1900000	0	20	43	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
TFCP2_TAGATA20NCG_AD_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/TFCP2_TAGATA20NCG_AD_4.fastq.gz	signal	75908	1.5 Mbp	1500000	0	20	52	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
CUX1_TAGCAG40NACT_AI_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/CUX1_TAGCAG40NACT_AI_3.fastq.gz	signal	487460	19.4 Mbp	19400000	0	40	41	PASS	PASS	NA	PASS	WARN	PASS	WARN	PASS	PASS	PASS	PASS
CUX2_TAGCCT40NCCT_AI_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/CUX2_TAGCCT40NCCT_AI_3.fastq.gz	signal	662832	26.5 Mbp	26500000	0	40	40	PASS	PASS	NA	PASS	FAIL	WARN	WARN	PASS	FAIL	PASS	PASS
ONECUT1_TAGCTC20NTCT_Y_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ONECUT1_TAGCTC20NTCT_Y_3.fastq.gz	signal	145925	2.9 Mbp	2900000	0	20	34	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ONECUT1_TCGCAT20NGA_AE_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ONECUT1_TCGCAT20NGA_AE_3.fastq.gz	signal	299591	5.9 Mbp	5900000	0	20	45	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	WARN	PASS	PASS
ONECUT2_TGGGCG30NCGT_AH_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ONECUT2_TGGGCG30NCGT_AH_2.fastq.gz	signal	565217	16.9 Mbp	16900000	0	30	48	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ONECUT3_TAGAAC20NAAT_Y_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ONECUT3_TAGAAC20NAAT_Y_3.fastq.gz	signal	151665	3 Mbp	3000000	0	20	36	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	PASS	PASS
E2F2_TACTCA20NCG_W_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/E2F2_TACTCA20NCG_W_4.fastq.gz	signal	82255	1.6 Mbp	1600000	0	20	50	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
E2F3_TTACAT20NACA_AF_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/E2F3_TTACAT20NACA_AF_4.fastq.gz	signal	91082	1.8 Mbp	1800000	0	20	45	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	FAIL	WARN	PASS
E2F7_TCACAC20NACA_Y_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/E2F7_TCACAC20NACA_Y_4.fastq.gz	signal	70735	1.4 Mbp	1400000	0	20	52	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	WARN	WARN	PASS
EBF1_TATAAG20NCG_AC_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/EBF1_TATAAG20NCG_AC_3.fastq.gz	signal	199091	3.9 Mbp	3900000	0	20	52	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ELF1_TGGGTA20NGA_O_7	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELF1_TGGGTA20NGA_O_7.fastq.gz	signal	18155	363.1 kbp	363100	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	WARN	PASS
ELF1_TATGGG20NCG_W_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELF1_TATGGG20NCG_W_4.fastq.gz	signal	81832	1.6 Mbp	1600000	0	20	49	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ELF3_TCCGTG20NTGC_Y_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELF3_TCCGTG20NTGC_Y_3.fastq.gz	signal	78124	1.5 Mbp	1500000	0	20	47	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ELF5_TGCCGC20NCG_V_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELF5_TGCCGC20NCG_V_2.fastq.gz	signal	107124	2.1 Mbp	2100000	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ELF5_TCTCGG20NGA_AF_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELF5_TCTCGG20NGA_AF_2.fastq.gz	signal	205109	4.1 Mbp	4099999.9999999995	0	20	49	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ELK1_TCGGAA20NAGT_AG_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELK1_TCGGAA20NAGT_AG_2.fastq.gz	signal	217620	4.3 Mbp	4300000	0	20	46	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ELK1_TGAGTG20NTGA_AG_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELK1_TGAGTG20NTGA_AG_2.fastq.gz	both	177474	3.5 Mbp	3500000	0	20	42	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ELK1_TGAGTG20NTGA_AG_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELK1_TGAGTG20NTGA_AG_3.fastq.gz	signal	172133	3.4 Mbp	3400000	0	20	48	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	PASS	PASS
ELK3_TCGGGG20NGGT_AG_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELK3_TCGGGG20NGGT_AG_2.fastq.gz	signal	206189	4.1 Mbp	4099999.9999999995	0	20	43	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ELK4_TAGGGC40NGGT_AK_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ELK4_TAGGGC40NGGT_AK_3.fastq.gz	signal	1336451	53.4 Mbp	53400000	0	40	49	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ERF_TCAGAG20NCG_W_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ERF_TCAGAG20NCG_W_4.fastq.gz	signal	82637	1.6 Mbp	1600000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ERG_TCTACA20NCAG_AG_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ERG_TCTACA20NCAG_AG_2.fastq.gz	both	182990	3.6 Mbp	3600000	0	20	43	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ERG_TCTACA20NCAG_AG_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ERG_TCTACA20NCAG_AG_3.fastq.gz	signal	175750	3.5 Mbp	3500000	0	20	49	PASS	PASS	NA	PASS	FAIL	WARN	PASS	PASS	PASS	PASS	PASS
ERG_TGCAAG20NAAC_AG_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ERG_TGCAAG20NAAC_AG_2.fastq.gz	both	153344	3 Mbp	3000000	0	20	45	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ERG_TGCAAG20NAAC_AG_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ERG_TGCAAG20NAAC_AG_3.fastq.gz	signal	152649	3 Mbp	3000000	0	20	48	PASS	PASS	NA	PASS	WARN	WARN	PASS	PASS	PASS	PASS	PASS
ETS1_TGTACC30NCAG_AI_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETS1_TGTACC30NCAG_AI_2.fastq.gz	both	382514	11.4 Mbp	11400000	0	30	46	PASS	PASS	NA	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS
ETS1_TGTACC30NCAG_AI_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETS1_TGTACC30NCAG_AI_3.fastq.gz	signal	730842	21.9 Mbp	21900000	0	30	48	PASS	PASS	NA	PASS	WARN	PASS	WARN	PASS	PASS	PASS	PASS
ETS1_TGTAAA20NGA_AF_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETS1_TGTAAA20NGA_AF_2.fastq.gz	both	179246	3.5 Mbp	3500000	0	20	50	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ETS1_TGTAAA20NGA_AF_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETS1_TGTAAA20NGA_AF_3.fastq.gz	signal	230033	4.6 Mbp	4600000	0	20	52	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	WARN	PASS
ETV1_TCGTTA20NTTT_AG_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETV1_TCGTTA20NTTT_AG_2.fastq.gz	signal	184801	3.6 Mbp	3600000	0	20	47	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ETV2_TGGAGC20NGAT_AK_3	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETV2_TGGAGC20NGAT_AK_3.fastq.gz	signal	31825	636.5 kbp	636500	0	20	42	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	WARN	WARN	PASS
ETV3_TCAGGA20NCG_W_4	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETV3_TCAGGA20NCG_W_4.fastq.gz	signal	90662	1.8 Mbp	1800000	0	20	51	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
ETV4_TCTATG20NTAG_AG_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETV4_TCTATG20NTAG_AG_2.fastq.gz	signal	205386	4.1 Mbp	4099999.9999999995	0	20	43	PASS	PASS	NA	PASS	WARN	PASS	PASS	PASS	PASS	PASS	PASS
ETV5_TGCACT20NGA_AF_2	/scratch/project_2013895/SELEX/data/Jolma2013/submitted_ftp/ETV5_TGCACT20NGA_AF_2.fastq.gz	signal	301109	6 Mbp	6000000	0	20	53	PASS	PASS	NA	PASS	FAIL	PASS	PASS	PASS	PASS	PASS	PASS
